shap_avg_er_wait_minutes,shap_hospital_overall_rating,shap_MORT_30_AMI,shap_MORT_30_HF,shap_MORT_30_PN,shap_READM_30_AMI,shap_READM_30_HF,shap_OP_18b,shap_OP_22,shap_COMP_HIP_KNEE,shap_median_income,shap_poverty_rate,shap_unemployment_rate,shap_pct_uninsured,shap_pct_college_educated,shap_bed_count,shap_pct_metro,shap_pct_rural,shap_avg_rucc_score,shap_deprivation_index,shap_hospital_type,shap_hospital_ownership,shap_emergency_services,facility_id,predicted_satisfaction,actual_satisfaction,top_negative_feature,top_positive_feature
0.18005392,-2.4263625,-0.17230402,-0.11555099,0.2063095,-0.29962605,-0.10286575,-0.03687755,0.012775231,0.3573895,0.43822908,0.36015815,-0.00044008027,-0.07509711,0.10871158,-0.95756024,0.29572552,0.033383865,0.14830598,-0.07254347,-0.08053419,0.14582759,-0.026548333,16,70.89,71.38,hospital_overall_rating,median_income
0.038251285,-2.6758897,0.15747142,0.2364036,-0.30426323,0.057963368,0.0017739991,-0.1267435,-0.2857189,0.34204555,0.2678229,0.32159537,0.11647439,-0.039684415,0.034621373,-0.24752207,0.47482133,0.014282549,0.17295663,-0.07769883,-0.041650567,-0.6158351,-0.022633256,17,70.77,67.5,hospital_overall_rating,pct_metro
-0.27005595,-0.17503326,0.08347573,0.3450816,0.41959363,0.0148740355,0.06894184,-0.41438803,-0.045316815,0.37661883,0.44193548,0.2725664,0.021980036,-0.008816094,0.025834924,-2.6383932,0.34815186,0.020493397,0.14321217,-0.0559313,-0.084439486,0.2855124,-0.022690503,18,72.13,73.12,bed_count,median_income
-0.12435796,-2.6197753,-0.62820345,-0.17651182,-0.1662792,-0.3419717,-0.13367024,-0.1466917,-0.16173007,0.48890057,0.44358897,0.30337283,0.12923862,-0.041404895,0.120193794,-3.2601137,0.39969778,0.028870318,0.16038604,-0.11966533,-0.048052765,-0.86977756,-0.019491738,19,66.19,64.5,bed_count,COMP_HIP_KNEE
1.1206081,0.30676708,0.19576295,0.60829,0.33268094,0.083778255,0.28912497,0.49549615,-0.1978193,-0.03758223,0.89000434,0.7116008,0.08206608,-0.036268916,0.047766455,1.7653278,0.29193008,0.053577583,0.051319133,0.02962847,0.32257068,0.25894538,-0.026447682,20,80.61,84.5,OP_22,bed_count
0.7593548,0.8106472,0.12956248,-0.092092775,0.5423279,0.060974628,-0.12323703,0.30725023,-0.33220294,-0.082535125,0.65811026,0.5827819,0.00911454,0.031365708,-0.13313252,1.7434099,0.2781015,0.011224238,0.045098256,0.10883165,0.24248047,0.2194663,-0.02584447,21,78.73,82.75,OP_22,bed_count
-0.18068473,-0.070747465,-0.42674685,0.3200328,0.24070688,-0.00060011283,0.56818706,-0.26049027,-0.18491079,0.21740928,0.19533914,0.3171091,0.059788343,0.008058778,-0.057733405,-2.86949,0.38396612,0.02289247,0.12193887,-0.04428793,-0.18787916,-0.5238083,-0.031076226,22,70.59,71.12,bed_count,READM_30_HF
-0.20802328,1.1094646,0.13428071,0.17819968,0.13406625,0.07241067,-0.12063625,0.08626638,-0.04709253,0.18255326,0.06577374,0.17095928,0.016445536,-0.030151198,-0.044429097,-1.2236532,0.2747189,0.05086041,0.0940643,-0.024804233,0.0060883416,-0.48729604,-0.035254586,23,73.33,71.75,bed_count,hospital_overall_rating
-0.3466663,0.08660766,0.15292077,0.114633,-0.10144904,0.07813293,0.04417852,0.036265597,-0.12589084,-0.20687158,0.33186328,0.1567633,0.034337003,-0.054528993,-0.111291744,2.7440078,0.18449345,0.029601894,0.03387348,-0.15542583,0.95133215,0.13992532,-0.05638897,24,76.93,72.88,avg_er_wait_minutes,bed_count
0.45853314,0.20885743,0.18471788,0.098975636,-0.008993123,0.10188155,0.09305909,0.3456047,0.40275472,-0.09354693,0.574766,0.47269994,0.10417284,0.012585659,-0.15521283,1.5735157,0.33883825,0.06809127,0.052368116,-0.018709978,0.10593737,-0.44447908,-0.02828114,25,77.42,79.62,hospital_ownership,bed_count
-0.23849486,-2.586209,0.007794213,0.34813565,-0.781374,-0.30277216,-0.10805833,-0.32645866,0.6634044,0.44418678,0.34719554,0.20483077,0.06488674,-0.04055918,0.08269915,-2.514392,0.39870536,0.024878122,0.16016848,-0.119278416,-0.07314222,-0.7224664,-0.010927157,26,67.9,70.88,hospital_overall_rating,OP_22
-0.6994996,-0.18479453,0.093509786,-0.3459154,0.23231207,-0.18062587,-0.012338325,-0.49225402,-0.03285625,0.7547328,0.32669726,0.24968855,0.0927085,0.0101901,-0.010103742,-3.0275126,0.24611771,0.0359381,0.08943551,-0.06817584,-0.04420925,0.07981661,-0.012765675,27,70.07,68.25,bed_count,COMP_HIP_KNEE
0.5419474,0.12686236,0.1631727,0.15454537,-0.8781042,0.07653706,0.051532045,0.35569242,-0.34733462,-0.1656233,0.6132131,0.36789206,-0.074501455,-0.06782213,-0.10629266,1.5818816,0.29974085,0.07771999,0.06795641,-0.02906295,0.25360438,-0.46768153,-0.033985928,28,75.54,74.12,MORT_30_PN,bed_count
-0.369378,0.18951367,0.11374865,0.37856373,0.08801539,0.07238213,-0.12057963,-0.3621599,-0.29752654,-0.09381017,0.33826172,0.30196783,0.02021094,-0.03842098,0.02917008,-1.919424,0.34214258,0.01612746,0.13556334,-0.039774388,-0.1002929,0.10910031,-0.026704296,29,71.74,77.12,bed_count,MORT_30_HF
0.58285785,0.21584673,0.19183485,0.18135364,0.043361623,0.08806042,0.10065851,0.29906458,-0.35350347,-0.08677154,0.38367298,0.39318824,-0.052925117,0.00051947177,-0.06289929,0.2110663,0.22178595,-0.015532622,0.07711927,0.054418903,0.18854909,-0.21530768,-0.02052128,30,75.4,74.38,OP_22,avg_er_wait_minutes
-0.25486082,0.012080785,-0.2481477,0.08008014,0.0042337514,-0.0863523,-0.02230478,-0.20381427,-0.20731808,0.12132647,0.35311294,0.22819464,0.027084935,-0.08276796,-0.033654027,-0.089761384,0.26635063,0.046620663,0.09893193,0.011302828,0.07785066,0.11096396,-0.024214722,31,73.16,72.25,avg_er_wait_minutes,median_income
0.4432562,0.20912069,0.1620788,0.118831456,-0.37735018,0.08583956,0.059974603,0.20706847,0.6924355,-0.08785477,0.3587432,0.31143734,-0.03797592,-0.12188507,-0.14446938,1.3101262,0.23422888,-0.015263799,0.07168579,-0.0015525345,0.019179093,0.09490411,-0.025808906,32,76.54,73.88,MORT_30_PN,bed_count
